tt,ID,test,swap,FI,pval_bl,pval_FI
bbd,35048,fisher,2,66,1.7836752862546238e-27,0.061478338936666994
bbd,35048,chi2,1,54,6.105916049204555e-25,0.06651002195694126
bbd,35048,chi2,2,66,6.105916049204555e-25,0.05132976149615406
bbd,35048,chi2_cont,1,53,2.8860105306951757e-24,0.07819654776211203
bbd,35048,chi2_cont,2,65,2.8860105306951757e-24,0.05420247653972136
bbd,65819,fisher,1,13,1.5769562878849133e-05,0.05106795310154759
bbd,65819,fisher,2,26,1.5769562878849133e-05,0.06155758622951989
bbd,65819,chi2,1,14,7.365476046293515e-06,0.05967648460463085
bbd,65819,chi2,2,27,7.365476046293515e-06,0.05681530566135115
bbd,65819,chi2_cont,1,13,1.4193804449021214e-05,0.05383964418083821
bbd,65819,chi2_cont,2,25,1.4193804449021214e-05,0.05144108686388214
bbd,35002,fisher,1,10,0.0018051886250243752,0.06342196594237845
bbd,35002,fisher,2,4,0.0018051886250243752,0.09069206104712954
bbd,35002,chi2,1,12,0.0009674284502477464,0.06445771827067566
bbd,35002,chi2,2,4,0.0009674284502477464,0.0542918283668548
bbd,35002,chi2_cont,1,10,0.0021830447373622493,0.0646716875023637
bbd,35002,chi2_cont,2,4,0.0021830447373622493,0.09219359636573929
bbd,24838,fisher,1,16,3.0033823768894896e-05,0.06567185288496102
bbd,24838,fisher,2,16,3.0033823768894896e-05,0.05357152257144341
